trace,design,policy,rc,seconds,objects,miss,get_mean_ns,set_mean_ns
low_alpha_cold,flat,sieve-compact,0,78,829155,0.2128,5399,11200
low_alpha_cold,flat,mru-compact,0,79,829534,0.2786,5303,10575
low_alpha_cold,flat,2q-compact-0.25-0.5,0,79,828260,0.2147,5527,11333
low_alpha_cold,flat,s3-fifo-compact-0.1,0,78,828159,0.2151,5451,11311
low_alpha_cold,tier,lru-hybrid,0,114,833044,0.2140,10171,11656
low_alpha_cold,tier,lfu-hybrid,0,93,831997,0.2122,7387,13080
low_alpha_cold,tier,fifo-hybrid,0,100,833517,0.2341,9387,9809
low_alpha_cold,tier,lru-sized-hybrid,0,115,902248,0.2049,10458,11792
low_alpha_cold,tier,lru-lfu-hybrid-2,0,114,833105,0.2134,10260,11750
low_alpha_cold,tier,2q-hybrid-0.1,0,83,426447,0.4453,6414,8508
low_alpha_cold,tier,2q-fast-admission-hybrid-0.1,0,78,426458,0.4453,5753,7764
low_alpha_cold,tier,2q-fast-admission-reprieve-hybrid-0.1,0,107,833355,0.2121,9608,10721
low_alpha_cold,tier,2q-full-fast-admission-hybrid-0.25-0.5,0,113,833186,0.2135,10774,10724
low_alpha_cold,tier,2q-ghost-hybrid-0.1,0,103,833125,0.2886,9143,10234
low_alpha_cold,tier,s3-fifo-hybrid-0.1,0,85,426444,0.4453,6939,8517
low_alpha_cold,tier,s3-fifo-ghost-hybrid-0.1,0,103,832980,0.2889,10044,9344
low_alpha_cold,tier,s3-fifo-ghost-lazy-demotion-hybrid-0.1,0,95,832825,0.2890,8185,9506
low_alpha_cold,tier,s3-fifo-ghost-lazy-demotion-fast-admission-hybrid-0.1,0,92,832866,0.2898,8066,9060
low_alpha_cold,tier,s3-fifo-ghost-lazy-demotion-fast-admission-midpoint-hybrid-0.1,0,94,832848,0.2898,8111,9064
low_alpha_cold,tier,s3-fifo-lazy-demotion-fast-admission-midpoint-reprieve-hybrid-0.1,0,100,833028,0.2135,9128,9798
low_alpha_cold,tier,s3-fifo-lazy-demotion-fast-admission-reprieve-hybrid-0.1,0,98,833040,0.2135,8988,9652
low_alpha_cold,tier,s3-fifo-lazy-demotion-reprieve-hybrid-0.1,0,102,833009,0.2133,8858,14057
low_alpha_cold,tier,s3-fifo-lazy-demotion-fast-admission-split-slow-reprieve-hybrid-0.1,0,102,832971,0.2136,9134,10194
low_alpha_cold,tier,lru-compact-hybrid,0,113,835095,0.2134,10195,11724
low_alpha_cold,tier,lfu-compact-hybrid,0,93,835031,0.2115,7442,13288
low_alpha_cold,tier,fifo-compact-hybrid,0,99,835565,0.2335,9420,9811
low_alpha_cold,tier,lru-sized-compact-hybrid,0,116,903846,0.2045,10508,11911
low_alpha_cold,tier,lru-lfu-compact-hybrid-2,0,113,835193,0.2129,10139,11644
low_alpha_cold,tier,2q-compact-hybrid-0.1,0,82,426451,0.4453,6354,8432
low_alpha_cold,tier,2q-fast-admission-compact-hybrid-0.1,0,79,426459,0.4453,5776,7800
low_alpha_cold,tier,2q-fast-admission-reprieve-compact-hybrid-0.1,0,107,835421,0.2116,9590,10660
low_alpha_cold,tier,2q-full-fast-admission-compact-hybrid-0.25-0.5,0,112,835330,0.2130,10693,10703
low_alpha_cold,tier,2q-ghost-compact-hybrid-0.1,0,103,835233,0.2884,9107,10240
low_alpha_cold,tier,s3-fifo-compact-hybrid-0.1,0,84,426436,0.4453,6831,8393
low_alpha_cold,tier,s3-fifo-ghost-compact-hybrid-0.1,0,103,835167,0.2887,9998,9385
low_alpha_cold,tier,s3-fifo-ghost-lazy-demotion-compact-hybrid-0.1,0,94,835027,0.2888,8149,9362
low_alpha_cold,tier,s3-fifo-ghost-lazy-demotion-fast-admission-compact-hybrid-0.1,0,92,835026,0.2895,8077,9047
low_alpha_cold,tier,s3-fifo-ghost-lazy-demotion-fast-admission-midpoint-compact-hybrid-0.1,0,93,835050,0.2895,8138,9106
low_alpha_cold,tier,s3-fifo-lazy-demotion-fast-admission-midpoint-reprieve-compact-hybrid-0.1,0,98,835164,0.2129,9090,9759
low_alpha_cold,tier,s3-fifo-lazy-demotion-fast-admission-reprieve-compact-hybrid-0.1,0,98,835280,0.2129,8972,9705
low_alpha_cold,tier,s3-fifo-lazy-demotion-reprieve-compact-hybrid-0.1,0,102,835154,0.2127,8763,13958
low_alpha_cold,tier,s3-fifo-lazy-demotion-fast-admission-split-slow-reprieve-compact-hybrid-0.1,0,101,835141,0.2130,9126,10222
uniform_baseline,flat,lru,0,49,828320,0.4664,5266,11824
uniform_baseline,flat,lfu,0,48,825751,0.4673,5237,11703
uniform_baseline,flat,fifo,0,50,828365,0.4662,5269,11771
uniform_baseline,flat,clock,0,49,828407,0.4664,5301,11793
uniform_baseline,flat,sieve,0,49,828409,0.4664,5270,11633
uniform_baseline,flat,mru,0,48,828446,0.4662,5221,11905
uniform_baseline,flat,arc,0,49,828411,0.4664,5228,11760
uniform_baseline,flat,2q-0.25-0.5,0,50,828239,0.4664,5299,11805
uniform_baseline,flat,s3-fifo-0.1,0,48,828165,0.4663,5249,11762
uniform_baseline,flat,lru-compact,0,50,829088,0.4661,5277,12060
uniform_baseline,flat,lfu-compact,0,49,829147,0.4662,5317,11880
uniform_baseline,flat,fifo-compact,0,49,829105,0.4660,5252,11720
uniform_baseline,flat,clock-compact,0,48,829146,0.4662,5272,11793
uniform_baseline,flat,sieve-compact,0,49,829150,0.4662,5294,11716
uniform_baseline,flat,mru-compact,0,49,829282,0.4658,5295,12069
uniform_baseline,flat,2q-compact-0.25-0.5,0,50,828238,0.4664,5209,11930
uniform_baseline,flat,s3-fifo-compact-0.1,0,48,828163,0.4663,5274,11794
uniform_baseline,tier,lru-hybrid,0,68,833272,0.4647,13203,12559
uniform_baseline,tier,lfu-hybrid,0,60,832063,0.4652,10026,14756
uniform_baseline,tier,fifo-hybrid,0,58,833227,0.4646,10198,10351
uniform_baseline,tier,lru-sized-hybrid,0,66,886263,0.4551,13099,12309
uniform_baseline,tier,lru-lfu-hybrid-2,0,67,833187,0.4647,13290,12557
uniform_baseline,tier,2q-hybrid-0.1,0,56,248829,0.8603,11170,10462
uniform_baseline,tier,2q-fast-admission-hybrid-0.1,0,44,249014,0.8601,4929,7494
uniform_baseline,tier,2q-fast-admission-reprieve-hybrid-0.1,0,62,833289,0.4644,12336,11453
uniform_baseline,tier,2q-full-fast-admission-hybrid-0.25-0.5,0,63,833145,0.4648,12690,11059
uniform_baseline,tier,2q-ghost-hybrid-0.1,0,62,770569,0.6627,12190,11294
uniform_baseline,tier,s3-fifo-hybrid-0.1,0,56,248822,0.8603,10940,10234
uniform_baseline,tier,s3-fifo-ghost-hybrid-0.1,0,58,770432,0.6628,10756,10602
uniform_baseline,tier,s3-fifo-ghost-lazy-demotion-hybrid-0.1,0,58,770420,0.6627,10729,10648
uniform_baseline,tier,s3-fifo-ghost-lazy-demotion-fast-admission-hybrid-0.1,0,52,767309,0.6640,8752,9043
uniform_baseline,tier,s3-fifo-ghost-lazy-demotion-fast-admission-midpoint-hybrid-0.1,0,52,767172,0.6640,8661,8923
uniform_baseline,tier,s3-fifo-lazy-demotion-fast-admission-midpoint-reprieve-hybrid-0.1,0,59,833270,0.4648,11970,10251
uniform_baseline,tier,s3-fifo-lazy-demotion-fast-admission-reprieve-hybrid-0.1,0,59,833210,0.4648,11749,10059
uniform_baseline,tier,s3-fifo-lazy-demotion-reprieve-hybrid-0.1,0,63,833264,0.4648,11912,14855
uniform_baseline,tier,s3-fifo-lazy-demotion-fast-admission-split-slow-reprieve-hybrid-0.1,0,61,833170,0.4648,12053,10694
uniform_baseline,tier,lru-compact-hybrid,0,66,835393,0.4641,13173,12482
uniform_baseline,tier,lfu-compact-hybrid,0,61,835079,0.4643,10064,15024
uniform_baseline,tier,fifo-compact-hybrid,0,57,835310,0.4639,10180,10377
uniform_baseline,tier,lru-sized-compact-hybrid,0,66,887836,0.4546,13012,12245
uniform_baseline,tier,lru-lfu-compact-hybrid-2,0,67,835247,0.4640,13229,12615
uniform_baseline,tier,2q-compact-hybrid-0.1,0,56,248810,0.8603,10897,10183
uniform_baseline,tier,2q-fast-admission-compact-hybrid-0.1,0,44,249105,0.8600,4789,7261
uniform_baseline,tier,2q-fast-admission-reprieve-compact-hybrid-0.1,0,62,835407,0.4637,12289,11338
uniform_baseline,tier,2q-full-fast-admission-compact-hybrid-0.25-0.5,0,62,835272,0.4641,12647,11066
uniform_baseline,tier,2q-ghost-compact-hybrid-0.1,0,63,770511,0.6628,12073,11307
uniform_baseline,tier,s3-fifo-compact-hybrid-0.1,0,56,248818,0.8603,10961,10282
uniform_baseline,tier,s3-fifo-ghost-compact-hybrid-0.1,0,58,770647,0.6627,10760,10657
uniform_baseline,tier,s3-fifo-ghost-lazy-demotion-compact-hybrid-0.1,0,58,770392,0.6628,10729,10610
uniform_baseline,tier,s3-fifo-ghost-lazy-demotion-fast-admission-compact-hybrid-0.1,0,52,767587,0.6638,8621,8911
uniform_baseline,tier,s3-fifo-ghost-lazy-demotion-fast-admission-midpoint-compact-hybrid-0.1,0,52,767730,0.6638,8532,8834
uniform_baseline,tier,s3-fifo-lazy-demotion-fast-admission-midpoint-reprieve-compact-hybrid-0.1,0,59,835430,0.4641,11841,10030
uniform_baseline,tier,s3-fifo-lazy-demotion-fast-admission-reprieve-compact-hybrid-0.1,0,58,835416,0.4641,11691,9947
uniform_baseline,tier,s3-fifo-lazy-demotion-reprieve-compact-hybrid-0.1,0,64,835444,0.4641,11855,14982
uniform_baseline,tier,s3-fifo-lazy-demotion-fast-admission-split-slow-reprieve-compact-hybrid-0.1,0,60,835391,0.4641,11978,10728
standard_web,tier,s3-fifo-lazy-demotion-fast-admission-midpoint-reprieve-compact-hybrid-0.1,0,152,835588,0.0847,5767,9724
standard_web,tier,s3-fifo-lazy-demotion-fast-admission-reprieve-compact-hybrid-0.1,0,152,835637,0.0847,5758,9748
standard_web,tier,s3-fifo-lazy-demotion-reprieve-compact-hybrid-0.1,0,152,835672,0.0846,5529,13604
standard_web,tier,s3-fifo-lazy-demotion-fast-admission-split-slow-reprieve-compact-hybrid-0.1,0,151,835651,0.0848,5650,9842
low_alpha_cold,flat,lru,0,80,828164,0.2152,5402,12137
